"job_id","n_baseline","lambda","M","functional"
169,500,0.1,1000,"ppv"
170,1000,0.1,1000,"ppv"
171,50,0.3,1000,"ppv"
172,100,0.3,1000,"ppv"
173,250,0.3,1000,"ppv"
174,500,0.3,1000,"ppv"
175,1000,0.3,1000,"ppv"
176,50,0.5,1000,"ppv"
177,100,0.5,1000,"ppv"
178,250,0.5,1000,"ppv"
179,500,0.5,1000,"ppv"
180,1000,0.5,1000,"ppv"
181,50,0.1,2500,"ppv"
182,100,0.1,2500,"ppv"
183,250,0.1,2500,"ppv"
184,500,0.1,2500,"ppv"
185,1000,0.1,2500,"ppv"
186,50,0.3,2500,"ppv"
187,100,0.3,2500,"ppv"
188,250,0.3,2500,"ppv"
189,500,0.3,2500,"ppv"
190,1000,0.3,2500,"ppv"
191,50,0.5,2500,"ppv"
192,100,0.5,2500,"ppv"
193,250,0.5,2500,"ppv"
194,500,0.5,2500,"ppv"
195,1000,0.5,2500,"ppv"
196,50,0.1,5000,"ppv"
197,100,0.1,5000,"ppv"
198,250,0.1,5000,"ppv"
199,500,0.1,5000,"ppv"
200,1000,0.1,5000,"ppv"
201,50,0.3,5000,"ppv"
202,100,0.3,5000,"ppv"
203,250,0.3,5000,"ppv"
204,500,0.3,5000,"ppv"
205,1000,0.3,5000,"ppv"
206,50,0.5,5000,"ppv"
207,100,0.5,5000,"ppv"
208,250,0.5,5000,"ppv"
209,500,0.5,5000,"ppv"
210,1000,0.5,5000,"ppv"
211,50,0.1,50,"concordance"
212,100,0.1,50,"concordance"
213,250,0.1,50,"concordance"
214,500,0.1,50,"concordance"
215,1000,0.1,50,"concordance"
216,50,0.3,50,"concordance"
217,100,0.3,50,"concordance"
218,250,0.3,50,"concordance"
219,500,0.3,50,"concordance"
220,1000,0.3,50,"concordance"
221,50,0.5,50,"concordance"
222,100,0.5,50,"concordance"
223,250,0.5,50,"concordance"
224,500,0.5,50,"concordance"
225,1000,0.5,50,"concordance"
226,50,0.1,100,"concordance"
227,100,0.1,100,"concordance"
228,250,0.1,100,"concordance"
229,500,0.1,100,"concordance"
230,1000,0.1,100,"concordance"
231,50,0.3,100,"concordance"
232,100,0.3,100,"concordance"
233,250,0.3,100,"concordance"
234,500,0.3,100,"concordance"
235,1000,0.3,100,"concordance"
236,50,0.5,100,"concordance"
237,100,0.5,100,"concordance"
238,250,0.5,100,"concordance"
239,500,0.5,100,"concordance"
240,1000,0.5,100,"concordance"
241,50,0.1,250,"concordance"
242,100,0.1,250,"concordance"
243,250,0.1,250,"concordance"
244,500,0.1,250,"concordance"
245,1000,0.1,250,"concordance"
246,50,0.3,250,"concordance"
247,100,0.3,250,"concordance"
248,250,0.3,250,"concordance"
249,500,0.3,250,"concordance"
250,1000,0.3,250,"concordance"
251,50,0.5,250,"concordance"
252,100,0.5,250,"concordance"
253,250,0.5,250,"concordance"
254,500,0.5,250,"concordance"
255,1000,0.5,250,"concordance"
256,50,0.1,500,"concordance"
257,100,0.1,500,"concordance"
258,250,0.1,500,"concordance"
259,500,0.1,500,"concordance"
260,1000,0.1,500,"concordance"
261,50,0.3,500,"concordance"
262,100,0.3,500,"concordance"
263,250,0.3,500,"concordance"
264,500,0.3,500,"concordance"
265,1000,0.3,500,"concordance"
266,50,0.5,500,"concordance"
267,100,0.5,500,"concordance"
268,250,0.5,500,"concordance"
269,500,0.5,500,"concordance"
270,1000,0.5,500,"concordance"
271,50,0.1,1000,"concordance"
272,100,0.1,1000,"concordance"
273,250,0.1,1000,"concordance"
274,500,0.1,1000,"concordance"
275,1000,0.1,1000,"concordance"
276,50,0.3,1000,"concordance"
277,100,0.3,1000,"concordance"
278,250,0.3,1000,"concordance"
279,500,0.3,1000,"concordance"
280,1000,0.3,1000,"concordance"
281,50,0.5,1000,"concordance"
282,100,0.5,1000,"concordance"
283,250,0.5,1000,"concordance"
284,500,0.5,1000,"concordance"
285,1000,0.5,1000,"concordance"
286,50,0.1,2500,"concordance"
287,100,0.1,2500,"concordance"
288,250,0.1,2500,"concordance"
289,500,0.1,2500,"concordance"
290,1000,0.1,2500,"concordance"
291,50,0.3,2500,"concordance"
292,100,0.3,2500,"concordance"
293,250,0.3,2500,"concordance"
294,500,0.3,2500,"concordance"
295,1000,0.3,2500,"concordance"
296,50,0.5,2500,"concordance"
297,100,0.5,2500,"concordance"
298,250,0.5,2500,"concordance"
299,500,0.5,2500,"concordance"
300,1000,0.5,2500,"concordance"
301,50,0.1,5000,"concordance"
302,100,0.1,5000,"concordance"
303,250,0.1,5000,"concordance"
304,500,0.1,5000,"concordance"
305,1000,0.1,5000,"concordance"
306,50,0.3,5000,"concordance"
307,100,0.3,5000,"concordance"
308,250,0.3,5000,"concordance"
309,500,0.3,5000,"concordance"
310,1000,0.3,5000,"concordance"
311,50,0.5,5000,"concordance"
312,100,0.5,5000,"concordance"
313,250,0.5,5000,"concordance"
314,500,0.5,5000,"concordance"
315,1000,0.5,5000,"concordance"
